-25 47
-24 47
-23 47
-22 47
-21 47
-20 47
-19 47
-18 47
-17 47
-16 47
-15 47
-14 47
-13 47
-12 47
-11 47
-10 47
-9 47
-8 47
-7 47
-6 47
-5 47
-4 47
-3 47
-2 47
-1 47
0 47
1 47
2 47
3 47
4 47
5 47
6 47
7 47
8 47
9 47
10 47
11 47
12 47
13 47
14 47
15 47
16 47
17 47
18 47
19 47
20 47
21 47
22 47
23 47
24 47
25 47
-25 3
-24 3
-23 3
-22 3
-21 3
-20 3
-19 3
-18 3
-17 3
-16 3
-15 3
-14 3
-13 3
-12 3
-11 3
-10 3
-9 3
-8 3
-7 3
-6 3
-5 3
-4 3
-3 3
-3 -15
-3 -14
-3 -13
-3 -12
-3 -11
-3 -10
-3 -9
-3 -8
-3 -7
-3 -6
-3 -5
-3 -4
-3 -3
-3 -2
-3 -1
-3 0
-3 1
-3 2
-3 3
3 -15
3 -14
3 -13
3 -12
3 -11
3 -10
3 -9
3 -8
3 -7
3 -6
3 -5
3 -4
3 -3
3 -2
3 -1
3 0
3 1
3 2
3 3
3 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 3
23 3
24 3
25 3
-3 -15
-2 -15
-1 -15
0 -15
1 -15
2 -15
3 -15
